,Sentence,Technique
1275,blatantly using lies and manipulation,Loaded_Language
1276,shouting match,Loaded_Language
1277,vicious temper tantrums,Loaded_Language
1278,terrorising his subordinates into submission,Loaded_Language
1279,apparently unbreachable shell of papal teflon,Loaded_Language
1280,calumny,Loaded_Language
1281,pain,Loaded_Language
1282,dropped the bomb,Loaded_Language
1284,flagrant,Loaded_Language
1285,under his thumb,Loaded_Language
1286,lie big and lie brazenly,Hyperbole
1288,mastery,Loaded_Language
1289,blatant and enormous lie,Loaded_Language
1290,thoroughly vetted,Loaded_Language
1291,duly rewarded,Loaded_Language
1292,violently opposed,Loaded_Language
1293,"nonsense, propaganda",Loaded_Language
1294,hysterical nonsense,Loaded_Language
1295,intrinsically disordered,Loaded_Language
1296,a serious emotional dysfunction that “must” preclude a man from being ordained,Loaded_Language
1297,one of the great confidence scams,Loaded_Language
1299,horrors,Loaded_Language
1300,slander and calumny,Loaded_Language
1301,Not that anyone in Rome was trying very hard,Doubt
1302,layers of corruption,Loaded_Language
1303,alleging “layers of corruption” within the student government and favouritism in appointing board members,Doubt
1304,there is absolutely no place,Hyperbole
1305,outrageous,Loaded_Language
1306,Christian Identity of Europe,Jingoism
1309,unacceptable and shocking,Loaded_Language
1310,flood of antichrists,Loaded_Language
1314,"Hungary will not become an immigrant country, it has never admitted and will never admit illegal immigrants.""",Loaded_Language
1315,ordered all illegal Muslim invaders to get out of Hungary and never come back,Loaded_Language
1317,openly Christian,Jingoism
1318,Hungary First,Jingoism
1319,"For us, Hungary is first",Jingoism
1320,America First,Jingoism
1322,"Hungary will not become an immigrant country, it has never admitted and will never admit illegal immigrants",Jingoism
1323,cataclysmic damage,Loaded_Language
1325,a perfect storm of sociology stupidity,Loaded_Language
1327,corrupting,Loaded_Language
1328,Sociology helped generate a whole range of fake new academic subjects while corrupting existing ones into a toxic stew of racism and meaningless jargon,Doubt
1329,absolute ignorance,Hyperbole
1330,shocked,Loaded_Language
1331,Sociology. You really don't need to know anything,Doubt
1332,"The professor, who has a PhD in philosophy... Of course she does",Doubt
1334,a toxic stew of racism and meaningless jargon,Loaded_Language
1335,"I can't think of anything less irrelevant than a black gunman shooting two white cops--after five years of the ""Blacks Lives Matter"" movement",Loaded_Language
1338,obscene travesty,Loaded_Language
1339,venomous,Loaded_Language
1341,hate,Loaded_Language
1342,even mass murder,Loaded_Language
1343,incredibly offensive,Loaded_Language
1350,the American public,Jingoism
1351,is tumbling chaotically as the result of a violent collision,Loaded_Language
1353,stunning,Loaded_Language
1354,a record-breaking,Hyperbole
1355,fancy image-gathering hardware,Loaded_Language
1356,a greatest distance from Earth than any in the history of mankind,Hyperbole
1357,fastest spacecraft ever launched,Hyperbole
1358,farther from Earth than any spacecraft in history,Hyperbole
1359,record-breaking,Loaded_Language
1360,gorgeously detailed eye candy,Loaded_Language
1363,a “classic” move of his,Loaded_Language
1369,scandal of epic proportions.”,Loaded_Language
1370,violating his seal of Confession with Karadima,Loaded_Language
1371,begging the Pope,Loaded_Language
1372,"The whole of Latin America, including Argentina, was well aware of what was happening",Hyperbole
1373,there were never any cases of clerical abuse in the entirety of the two-million-plus member Archdiocese of Buenos Aires,Hyperbole
1376,to be haunting this papacy,Loaded_Language
1377,sexual predators,Loaded_Language
1378,predators,Loaded_Language
1380,slander,Loaded_Language
1381,incredibly frustrated,Loaded_Language
1382,"grooming gang, a predator priest",Loaded_Language
1383,heinous,Loaded_Language
1384,"lies"" and ""ridiculous""",Loaded_Language
1385,monumental stupidity,Loaded_Language
1386,Has President Trump thought through where we are going with this deepening commitment in Syria,Doubt
1387,"If you (Americans) are committed to countering Iran in the region, then you must do so in Syria--first.""",Jingoism
1389,Erdogan exploded,Loaded_Language
1390,"What outcome would justify another U.S. war in a region where all the previous wars in this century have left us bleeding, bankrupt, divided and disillusioned?",Jingoism
1391,"bleeding, bankrupt, divided and disillusioned?",Loaded_Language
1392,what would be the U.S. vital interest?,Jingoism
1393,"When he was running , Donald Trump seemed to understand this",Doubt
1394,"your addition “in individual cases” is absolutely worthless, it has no argumentative force",Loaded_Language
1395,"Why not, one could say, since the Church is ready to bless nearly everything on the earth?",Hyperbole
1397,"To contradict two popes – whom the Church has already “beatified” the one and “canonized” the other – so shortly after their deaths, and in such a radical and open manner, probably has never happened before in the Church's history",Hyperbole
1398,"but if one dares something, one might win, but one also can perish",Loaded_Language
1401,would be an ‘atrocity’,Loaded_Language
1402,this is an atrocity at a holy site,Loaded_Language
1403,submissive change of the Church into a NGO for the embetterment of the this-worldly life conditions” is a “suicidal modernization” that denies mankind the Truth of God,Loaded_Language
1406,barreled,Loaded_Language
1407,devastation,Loaded_Language
1408,skirted,Loaded_Language
1409,amazing,Loaded_Language
1410,stunning,Loaded_Language
1411,breathe its dying gasps,Loaded_Language
1412,it has “an enormous power.”,Loaded_Language
1415,prayerful consideration”,Loaded_Language
1416,the church’s inertia on the issue,Doubt
1417,he has set his expectations at rock bottom,Loaded_Language
1418,continues to be blind to what the church has done.”,Loaded_Language
1419,slander,Loaded_Language
1420,I’ve seen little that has changed,Doubt
1421,increasingly vicious struggle,Loaded_Language
1423,Orban poses as a saviour of Europe's Christian nations,Jingoism
1424,Christianity is Europe's last hope,Jingoism
1425,a direction different from ours,Jingoism
1426,unleashing immigration onto Europe,Loaded_Language
1427,“Christianity is Europe's last hope.”,Jingoism
1428,"European nations which have encouraged migration have, “opened the way to the decline of Christian culture and the advance of Islam.”",Jingoism
1436,“Christianity is Europe’s last hope.”,Jingoism
1437,"Christianity is not Europe's ""last hope,"" it's the world's ""only hope.""",Jingoism
1439,as a savior of Europe’s Christian nations,Jingoism
1440,direction different from ours,Jingoism
1441,ruined,Loaded_Language
1445,park” the priest out of harm’s way,Loaded_Language
1447,"had caused ""great pain” to victims",Loaded_Language
1448,"toothless, paper-shuffling exercise",Loaded_Language
1450,"If Francis was not listening to the commission about Barros, whom was he listening to",Doubt
1454,efforts to protect the nation,Jingoism
1455,protect the integrity of our immigration laws and border controls,Jingoism
1456,And Dems have become honorary members of MS-13,Hyperbole
1458,this reckless decision,Loaded_Language
1459,irresponsible decision,Loaded_Language
1460,quite clearly,Hyperbole
1462,who betrayed,Hyperbole
1463,reckless decision,Loaded_Language
1464,our officers will continue to fulfill their sworn duty to protect public safety,Jingoism
1465,remain at large,Loaded_Language
1466,who betrayed,Loaded_Language
1468,awkward attempt to whitewash,Loaded_Language
1471,The price of a sanctuary city for illegal aliens is paid in abused children. Just ask the abused children of Oakland,Loaded_Language
1475,"Because of the tireless efforts of these professional officers, there are fewer criminals in our communities.”",Hyperbole
1479,filth and degenerate behavior,Loaded_Language
1480,White folks are going down. And Satan is going down,Loaded_Language
1482,"your time is up, your world is through.""",Hyperbole
1483,harshly denounced,Loaded_Language
1490,Sanctuary City Mayor Protected Illegal Alien Mexican Rapist,Hyperbole
1492,Except when she's fighting for their rapists instead,Loaded_Language
1493,unsavory characters,Loaded_Language
1494,gun control extremists,Loaded_Language
1495,rallying cry,Loaded_Language
1496,Wow! Run for your lives!,Loaded_Language
1497,so deliriously (and devilishly),Loaded_Language
1499,ever-encroaching,Loaded_Language
1500,one of the most egregious gun control machinations of all: gun confiscation,Hyperbole
1501,trampled,Loaded_Language
1502,NO,Loaded_Language
1503,ALL,Loaded_Language
1504,and ALL of Congress would have no rights,Hyperbole
1505,YEAR’S,Loaded_Language
1506,NO,Loaded_Language
1507,NO CRIME,Loaded_Language
1508,"Fifthly, a U.S. citizen who has committed NO CRIME is denied his Natural right of self-defense for a whole year. And the media report says the confiscations “only” last a year, with the caveat that they may be extended. Indeed. They could and very likely will be extended indefinitely",Jingoism
1509,SO WHAT,Doubt
1510,ANY,Loaded_Language
1511,he opened Pandora’s Box,Loaded_Language
1512,deceptively says,Loaded_Language
1513,Proving a negative is nearly impossible,Hyperbole
1514,Adding insult to injury,Loaded_Language
1515,"Donald Trump has opened the door for more damage being done to the Second Amendment than any other president, Democrat or Republican, in our lifetime",Hyperbole
1516,uttered his stupid comment,Loaded_Language
1517,Erupt With Glee,Loaded_Language
1518,ANY,Loaded_Language
1519,NOT,Loaded_Language
1520,has opened the door,Loaded_Language
1522,Opened the Door,Loaded_Language
1523,NO,Loaded_Language
1524,CRUCIAL,Loaded_Language
1525,"This “I’m offended” or “his gun scares me” complaint is nothing but cover for little Nazis to try and deny another person their Natural, God-given liberty",Jingoism
1526,egregious,Loaded_Language
1527,"First, the open carry of a firearm is LEGAL in the area where this took place. So, the fellow was violating NO gun laws whatsoever",Doubt
1528,"Thirdly, what does “volume of complaints” mean? How many complaints were received over a YEAR’S time? Two? Five? Ten? People complaining about other people happens all of the time",Doubt
1529,"Fifthly, a U.S. citizen who has committed NO CRIME is denied his Natural right of self-defense for a whole year. And the media report says the confiscations “only” last a year, with the caveat that they may be extended",Doubt
1530,"At some point, the American people will be forced to view these governmental attacks against our Second Amendment liberties as a declaration of war",Jingoism
1531,absurdly low,Loaded_Language
1533,bully pulpit,Loaded_Language
1534,HUGE,Loaded_Language
1535,rallying cry,Loaded_Language
1536,But if you are a freedom-loving American,Jingoism
1539,racially extreme comments,Loaded_Language
1540,praising Adolf Hitler as a “very great man,Loaded_Language
1541,virulently anti-Semitic,Loaded_Language
1543,So seriously that J Street can't decide,Doubt
1544,was very outraged,Loaded_Language
1545,The world is so much bigger than Farrakhan and the Jewish question and his position on that and so forth,Hyperbole
1548,fails to explain why he met with him,Doubt
1549,the harmful and divisive views,Loaded_Language
1551,But we've seen that before. So it likely doesn't represent his views,Doubt
1552,Obviously not going to happen,Doubt
1554,preaching of hatred and jihad violence,Loaded_Language
1556,relentlessly appeasement-minded,Loaded_Language
1557,so outlandish,Loaded_Language
1558,impassioned defense,Loaded_Language
1559,grave questions,Loaded_Language
1560,commedia diabolica,Loaded_Language
1561,one of the most bizarre aspects of this whole bizarre situation,Loaded_Language
1562,"so trivial, so inappropriately, so disproportionately petty",Loaded_Language
1563,absurd responses to serious questions of grave import,Loaded_Language
1564,pope-as-pop-star,Loaded_Language
1565,NewChurch mud,Loaded_Language
1566,turned the Vatican into a den of thieves,Loaded_Language
1567,utterly insouciant,Loaded_Language
1568,"frivolous, jokey responses",Loaded_Language
1569,all that rubbish,Loaded_Language
1570,crushing disappointment,Loaded_Language
1571,watches his children beaten and led astray,Loaded_Language
1574,futile objections,Loaded_Language
1577,the water and the blood that poured from the open side of her crucified Lord,Loaded_Language
1580,burned like an unchecked wildfire throughout the Catholic world,Loaded_Language
1589,brazen enemies of the Faith,Loaded_Language
1594,what kind of creature Kasper was,Loaded_Language
1595,trumpeting in his blatant heresies from every rooftop he could find,Loaded_Language
1596,awesome responsibility,Loaded_Language
1597,finishing touch to the poisoned cake,Loaded_Language
1598,whatever you want to call yourself,Loaded_Language
1602,incredible brazenness of their hatred of the Catholic Faith?,Loaded_Language
1604,emeritus pope” charade,Loaded_Language
1605,charade of post-conciliar Catholicism,Loaded_Language
1606,schizophrenic mindset of the Church’s leadership,Loaded_Language
1608,we played the Anglican game,Loaded_Language
1609,the last gasp of the old Church,Loaded_Language
1610,wolves in shepherds’ clothing eating the sheep,Loaded_Language
1611,New Paradigm of Merciful Conciliar Wonderfulness,Loaded_Language
1612,filth,Loaded_Language
1613,Could we have been wrong about him,Doubt
1614,"And if so, could we have been this wrong",Doubt
1616,heresy and blasphemy,Loaded_Language
1621,blatantly denying and undermining,Loaded_Language
1624,Is it any wonder that so many Catholics have become disaffected,Doubt
1625,"Why is this man still a cardinal? Why is he still a bishop? Why is he still allowed to call himself a “Catholic theologian”? Why did you, apparently deliberately, ensure that he was able to enter the Conclave to decide who your successor was going to be",Doubt
1626,"Why have we so often seen these men – compromised intellectually and morally – elevated to superior rank, despite the incredible brazenness of their hatred of the Catholic Faith",Doubt
1628,schizophrenia,Loaded_Language
1629,reckless disregard,Loaded_Language
1630,just keeps getting worse,Loaded_Language
1631,shocked,Loaded_Language
1632,there is no doubt that businesses employing illegal aliens are committing a crime,Loaded_Language
1633,notorious for extreme violence and bloodshed,Loaded_Language
1634,white people are “devils” and Jewish people are satanic,Loaded_Language
1641,plays a big role in the lives of thousands and thousands,Hyperbole
1642,outstanding human being,Hyperbole
1643,very great man.”,Hyperbole
1644,outstanding human being”,Hyperbole
1645,outstanding work”,Hyperbole
1646,wonder how far a white congressman would get,Doubt
1650,How dare you!”,Loaded_Language
1651,How dare you,Loaded_Language
1652,real war on women,Loaded_Language
1654,the most important priority for all too many American officials,Hyperbole
1656,It was nothing anymore,Hyperbole
1657,boom boom,Loaded_Language
1658,freedom from jihad and Shariah shines forth,Loaded_Language
1659,"Protecting the image of Islam, not protecting the public, still seems to be the most important priority for all too many American officials",Doubt
1660,Willfully Ignorant FBI Can't Discover Motive For Muslim Jihadi Who Drove Into Propane Tanks At Travis Air Force Base,Doubt
1661,"Of course, even if they had found those things, given their track record of denial and deception, they may still be searching for Kazi’s motive",Doubt
1662,Allahu akbar,Loaded_Language
1663,astronomical and catastrophic,Loaded_Language
1665,I applaud the brave men and women of ICE who put themselves in harm’s way daily,Hyperbole
1667,I applaud the brave men and women of ICE who put themselves in harm’s way daily to keep our community safe,Jingoism
1668,Allahu akbar,Loaded_Language
1670,"So each time something like this happens, they’re back at Square One, trying to figure out motive",Doubt
1672,the 800-pound gorilla,Loaded_Language
1673,screaming,Loaded_Language
1674,astronomical and catastrophic,Loaded_Language
1675,the machete begins to slice through their necks,Loaded_Language
1676,bitter dispute,Loaded_Language
1680,mocked,Loaded_Language
1681,For the sake of money they would have done anything,Doubt
1683,great doubt,Hyperbole
1684,"Hadeed did not introduce any evidence to the judge about a pattern of possible fraud by Abid, the timing of the move as it relates to the federal criminal case, or the mental capacity of the dying man to understand paperwork",Doubt
1685,"You have no control over [Gilani], do you",Doubt
1686,I don’t understand why the witness is having such trouble with the question,Doubt
1687,threatened that he is very powerful,Hyperbole
1688,There are possibilities that [Imran] or them might have been selling [House] information,Doubt
1689,Why is that even relevant,Doubt
1690,talking to a wall,Loaded_Language
1691,Why do your signatures look different,Doubt
1692,severe,Loaded_Language
1694,tyrannical regime,Loaded_Language
1695,aggressively,Loaded_Language
1697,horrific,Loaded_Language
1698,outright insane,Loaded_Language
1699,war-ravaged dystopias,Loaded_Language
1700,none other than,Loaded_Language
1701,Who was in that room?,Doubt
1702,despise,Loaded_Language
1704,hell-bent,Loaded_Language
1705,aggressively,Loaded_Language
1707,America,Jingoism
1708,hypocritically,Loaded_Language
1709,our Constitution,Jingoism
1710,incredibly stupid,Loaded_Language
1711,disaster after disaster,Loaded_Language
1712,violent,Loaded_Language
1713,How did that work in Libya?,Doubt
1714,killed dozens of Americans,Jingoism
1715,Does anyone really think Iran will be better off if Trump puts a bunch of “former” terrorists in charge of the country?,Doubt
1716,decimated,Loaded_Language
1718,Explosive,Loaded_Language
1721,"never, ever",Loaded_Language
1722,forced,Loaded_Language
1723,under fire,Hyperbole
1724,raised alarms,Hyperbole
1727,gruesome,Loaded_Language
1728,outright,Loaded_Language
1729,zealously,Loaded_Language
1730,Whoa! Whoa! Whoa!,Loaded_Language
1735,slaughtering,Loaded_Language
1736,forced,Loaded_Language
1737,unacceptable,Loaded_Language
1741,violent history,Loaded_Language
1742,intolerant doctrines,Loaded_Language
1743,chastising,Loaded_Language
1747,stupidest,Hyperbole
1748,very wicked,Loaded_Language
1752,furious,Loaded_Language
1753,much ballyhooed,Loaded_Language
1754,gabbing,Loaded_Language
1757,roll over and be good,Loaded_Language
1758,total surrender,Loaded_Language
1759,"‘eat sand and die,’",Loaded_Language
1760,fanatically,Loaded_Language
1761,much fanfare,Loaded_Language
1762,hapless,Loaded_Language
1763,Is this what Bolton has in mind for North Korea?,Doubt
1764,incredibly obtuse,Loaded_Language
1765,Was Trump involved in this intrigue?,Doubt
1766,satrap,Loaded_Language
1767,terrifying,Loaded_Language
1768,gross,Loaded_Language
1771,manifest,Loaded_Language
1773,blight,Loaded_Language
1774,greatly,Loaded_Language
1775,the furthest thing,Hyperbole
1777,double jeopardy,Loaded_Language
1778,FALSE,Loaded_Language
1782,truly devastating,Loaded_Language
1783,attacked,Hyperbole
1784,the most damaging,Hyperbole
1785,absolutely no problems whatever,Hyperbole
1786,complete and perfect,Hyperbole
1787,perfectly,Hyperbole
1788,gravely offended and outraged,Loaded_Language
1789,the most outspokenly heretical and politicised organisation of female religious in the world,Hyperbole
1790,gaunt,Loaded_Language
1791,torpedo,Loaded_Language
1792,the most flourishing,Hyperbole
1823,reign of terror,Loaded_Language
1825,fatal,Loaded_Language
1827,quite literally,Loaded_Language
1828,wrecking-ball,Loaded_Language
1830,extinction,Loaded_Language
1832,disastrously,Loaded_Language
1849,hellbent on destroying President Trump,Loaded_Language
1850,retailing Soviet fictions and titillating porn stories,Loaded_Language
1852,lashed out at her,Loaded_Language
1853,"Ma’am, you lied to me, didn’t you",Doubt
1854,before I explode,Loaded_Language
1857,"You lied to me, didn’t you",Doubt
1860,the biggest story of treason and espionage in the recent memory,Hyperbole
1861,nefarious purposes,Loaded_Language
1864,tried to squirrel,Loaded_Language
1865,"You’re a liar, aren’t you",Doubt
1869,outrage,Loaded_Language
1871,egregious,Loaded_Language
1872,the most vicious and brutal ideology on the face of the Earth,Hyperbole
1873,frenzy,Loaded_Language
1874,forced,Loaded_Language
1879,satanic,Loaded_Language
1881,America,Jingoism
1882,a national problem,Jingoism
1883,most vicious,Loaded_Language
1884,brutal ideology,Loaded_Language
1885,Is the principal acting on this?,Doubt
1886,And do the police have any interest in this?,Doubt
1887,Or would that be “islamofauxbic”?,Doubt
1888,agonizing,Loaded_Language
1891,Hellbent to destroy President Trump,Loaded_Language
1892,toil in Soviet fictions and titillating porn stories,Loaded_Language
1893,Treasure Trove of Evidence,Loaded_Language
1895,Color me skeptical,Loaded_Language
1896,most powerful Democrats,Hyperbole
1897,jihad-treason,Loaded_Language
1899,the biggest story of treason and espionage in the recent memory,Hyperbole
1900,goes to extraordinary lengths,Hyperbole
1901,nefarious purposes,Loaded_Language
1906,reckless IT practices,Loaded_Language
1907,trove of evidence,Loaded_Language
1908,"He was very, very angry",Hyperbole
1909,Capitol Police didn’t make arrests despite numerous red flags and then ‘inadvertently’ gave evidence to defense attorneys that was supposed to go to prosecutors,Doubt
1910,Accidentally,Doubt
1913,severely misleading,Loaded_Language
1916,holy war and death for Allah,Loaded_Language
1917,aided by Allah,Loaded_Language
1918,the religious tapestry of American life,Loaded_Language
1919,the religious tapestry of American life,Loaded_Language
1921,severe against,Loaded_Language
1922,more severe against,Loaded_Language
1928,severely misleading the American people,Jingoism
1929,Great,Loaded_Language
1930,plain out offensive,Loaded_Language
1931,pretty much terrible,Loaded_Language
1932,"dangerous, suicidal folly for Infidels",Loaded_Language
1933,willful blindness,Loaded_Language
1938,Death-Knell,Loaded_Language
1939,death-knell,Loaded_Language
1940,disaster,Loaded_Language
1941,absurd,Loaded_Language
1943,death spiral,Loaded_Language
1944,the frost of Vatican II’s perpetual winter,Loaded_Language
1945,destroy,Loaded_Language
1946,frightening,Loaded_Language
1947,the most virulently anti-Catholic organisation of “Catholic” religious in the world,Hyperbole
1948,unprecedented,Loaded_Language
1949,complete loss of our rights,Loaded_Language
1950,ridiculous,Loaded_Language
1951,million,Loaded_Language
1952,would not rest until,Loaded_Language
1953,absolutely dismal,Loaded_Language
1954,disaster,Loaded_Language
1958,disastrous,Loaded_Language
1959,depressing,Loaded_Language
1960,most desperate,Hyperbole
1961,still less,Hyperbole
1962,downright bizarre,Loaded_Language
1963,"controlled, systematized extinction",Loaded_Language
1964,incredible,Loaded_Language
1965,death throes,Loaded_Language
1966,impending total extinction,Loaded_Language
1967,What are these people smoking?,Doubt
1968,like a funeral bell,Loaded_Language
1969,What are these people smoking?,Loaded_Language
1971,demolition,Loaded_Language
1972,terrible,Loaded_Language
1973,Violence,Loaded_Language
1974,defenseless,Loaded_Language
1975,dumbing down,Loaded_Language
1976,crucial,Loaded_Language
1977,misnamed,Loaded_Language
2003,our government,Jingoism
2004,comatose,Loaded_Language
2005,dead,Loaded_Language
2006,great,Hyperbole
2008,Soviet Empire,Hyperbole
2011,"their own country, Great Britain",Jingoism
2014,"watershed moment in U.S. and world history, and in the future of the GOP",Hyperbole
2015,punish aggressors,Loaded_Language
2016,repudiated,Loaded_Language
2017,awash in blood,Loaded_Language
2018,hard-edged,Loaded_Language
2019,gut-level,Loaded_Language
2022,derision,Loaded_Language
2024,savagery,Loaded_Language
2025,about the future,Hyperbole
2027,How could the Beltway GOP not see,Doubt
2028,What had a quarter century of Bushite free trade produced?,Doubt
2029,Could Republicans not see,Doubt
2030,U.S. dead,Jingoism
2031,monsters,Loaded_Language
2032,destroy,Loaded_Language
2033,Americans,Jingoism
2035,parade,Loaded_Language
2036,superiority,Hyperbole
2038,no two people are more responsible,Hyperbole
2039,triumph,Loaded_Language
2041,America,Jingoism
2042,most American of writers,Hyperbole
2043,most American,Jingoism
2044,our democracy,Jingoism
2045,our future,Jingoism
2046,tens of thousands of wounded,Loaded_Language
2047,trillions of dollars sunk,Loaded_Language
2048,millions uprooted and homeless,Loaded_Language
2049,About which of half a dozen wars were they right,Doubt
2050,blunders,Loaded_Language
2052,"Do they believe their old agenda of open borders, amnesty, free trade globalism and democracy-crusading can become America's agenda again?",Doubt
2053,"So much time and money wasted, so many lives ruined",Loaded_Language
2055,actively destroyed his life an made it all but impossible,Hyperbole
2057,with good reason,Loaded_Language
2058,our Republic,Jingoism
2059,The American people,Jingoism
2060,our country,Jingoism
2061,Americans,Jingoism
2065,trashing,Loaded_Language
2066,corrupt,Loaded_Language
2067,tremendous,Loaded_Language
2068,foolish,Loaded_Language
2070,ADVANTAGE AMERICANS,Jingoism
2071,the Wolff book brouhaha,Loaded_Language
2073,especially striking,Loaded_Language
2074,roared back,Loaded_Language
2075,ADVANTAGE AMERICANS,Loaded_Language
2076,ADVANTAGE IMMIGRANTS,Loaded_Language
2078,woke up,Loaded_Language
2079,an outright retreat,Loaded_Language
2080,dramatic contrast,Loaded_Language
2081,rocket,Loaded_Language
2083,increasingly befuddled,Loaded_Language
2084,mysterious memos,Loaded_Language
2085,the picture is still bleaker,Loaded_Language
2086,A TIE,Loaded_Language
2087,ADVANTAGE NATIVE-BORN,Loaded_Language
2088,ADVANTAGE NATIVE-BORN,Loaded_Language
2089,ADVANTAGE IMMIGRANTS,Loaded_Language
2090,Can the same be said for the Obama Administration,Doubt
2093,America First,Jingoism
2094,ADVANTAGE AMERICANS,Jingoism
2097,too steeped in economic euphoria,Loaded_Language
2098,with the evaporation,Loaded_Language
2100,the term “native born” will refer to a minuscule fraction of the U.S. population,Hyperbole
2101,ADVANTAGE IMMIGRANTS,Loaded_Language
2102,ADVANTAGE IMMIGRANTS,Loaded_Language
2103,ADVANTAGE IMMIGRANTS,Loaded_Language
2104,had rebounded dramatically,Loaded_Language
2107,jawboned away,Loaded_Language
2108,comes on the heels of gains,Loaded_Language
2109,American people,Jingoism
2110,the American people,Jingoism
2112,shock,Loaded_Language
2113,dramatically,Loaded_Language
2117,windfall of cash,Hyperbole
2118,wishy-washy,Loaded_Language
2119,startling,Loaded_Language
2120,betraying the interest of the American people,Jingoism
2121,How could Ryan possibly know this?,Doubt
2122,"lacking push, zeal and enthusiasm",Loaded_Language
2123,the rotten inner workings,Loaded_Language
2124,Isn’t he prejudging the case without even finding out what actually happened?,Doubt
2125,dirty deal,Loaded_Language
2126,how many more are there,Doubt
2127,most important market,Hyperbole
2128,most important currency,Hyperbole
2129,disgraced,Loaded_Language
2132,Not a one,Hyperbole
2134,worthless,Loaded_Language
2139,American people,Jingoism
2140,widely,Hyperbole
2141,absolutely,Hyperbole
2142,totally,Hyperbole
2143,Yikes,Loaded_Language
2144,our,Jingoism
2145,our,Jingoism
2148,to dance to his tunes,Loaded_Language
2150,made a stink,Loaded_Language
2151,devastating hack,Loaded_Language
2153,One of the biggest stories of 2017 and 2018,Hyperbole
2154,the biggest crime of spying in US history,Hyperbole
2156,became “frantic,Loaded_Language
2157,to kill the investigation,Loaded_Language
2158,ominously’ indifferent,Loaded_Language
2159,easy access to the corridors of power,Loaded_Language
2160,with dire consequences,Loaded_Language
2161,his IT position in Congress gave him the power to “change the U.S. president,Hyperbole
2162,so rattled,Loaded_Language
2164,"Wasserman Schultz was defending someone investigators allegedly told her was suspected of cybersecurity violations, despite having resigned from her position as DNC head following a devastating hack during the 2016 election",Doubt
2165,"profane, with every official she could buttonhole",Loaded_Language
2166,quickly souring,Loaded_Language
2167,fucking,Loaded_Language
2168,Treason,Loaded_Language
2169,Even Worse,Hyperbole
2170,the worst,Hyperbole
2180,"for years, and probably decades",Hyperbole
2181,Nothing good,Hyperbole
2182,massacres,Loaded_Language
2183,tremendous,Loaded_Language
2184,even worse,Hyperbole
2186,incompetent,Loaded_Language
2187,corrupt,Loaded_Language
2188,dishonest,Loaded_Language
2189,of Americans,Jingoism
2190,catastrophe,Loaded_Language
2191,brainwashing,Loaded_Language
2192,rampant violence,Loaded_Language
2193,absolute horror,Loaded_Language
2194,Violence,Loaded_Language
2195,skyrocketing,Loaded_Language
2196,so bad,Loaded_Language
2197,bullying,Loaded_Language
2198,forcing,Loaded_Language
2199,enslaved,Loaded_Language
2200,authoritarian,Loaded_Language
2201,wreak havoc,Loaded_Language
2202,disturbed,Loaded_Language
2216,Governments are nothing more than a handful of people,Hyperbole
2217,exploded,Hyperbole
2218,our society,Jingoism
2220,the worst president in American history,Hyperbole
2221,bogus smear,Loaded_Language
2222,the storms of raw truth that have blown through the capitals of rapacious power,Loaded_Language
2224,sucking up to the United States in the time-honored way,Loaded_Language
2225,ending up in a hell hole,Loaded_Language
2226,"But it is also about freedom of speech, about our right to know, which is enshrined in the United States Constitution",Jingoism
2228,a vindictive delight in tormenting Julian,Loaded_Language
2229,beating the hell out of him,Loaded_Language
2231,manhandling,Loaded_Language
2233,he regarded what they are doing to Julian now as torture,Hyperbole
2234,The injustice done to this man is legion,Hyperbole
2235,in jail forever or even executed,Hyperbole
2236,in bed with the Russians is ludicrous,Loaded_Language
2237,extremely critical,Hyperbole
2239,wickedly experimental munitions,Loaded_Language
2240,The Eerie Silence,Loaded_Language
2243,one who has exposed a system that threatens humanity,Hyperbole
2244,The fakery,Loaded_Language
2247,the raw truth,Loaded_Language
2248,have not destroyed the man,Loaded_Language
2249,a profound tragedy,Loaded_Language
2250,totally left out in the cold to fend for himself,Loaded_Language
2251,eerie silence,Loaded_Language
2252,a great miscarriage of justice,Hyperbole
2253,are virtually empty,Hyperbole
2254,absolutely clear-cut,Hyperbole
2255,the bogus Swedish case,Loaded_Language
2258,It’s so ridiculous,Loaded_Language
2260,I have never known anything quite like it in my career,Hyperbole
2261,witch-hunting around Russia-gate,Loaded_Language
2262,Their investigations turned up not a shred of real evidence,Hyperbole
2263,was hounded,Loaded_Language
2264,taken such a battering,Loaded_Language
2265,the utter hypocrisy of news organizations,Hyperbole
2266,I find this one of the most unsavory and immoral things I have seen in my career,Hyperbole
2268,it was a hack through Julian Assange,Loaded_Language
2271,he was rolled by the Clinton organization,Loaded_Language
2272,farcical element,Loaded_Language
2273,he yelled out,Loaded_Language
2274,one of their brethren was being brutalized,Loaded_Language
2276,It was hysterical,Loaded_Language
2277,being hauled off,Loaded_Language
2278,both shocking and surreal,Loaded_Language
2279,the shocking and the surreal,Loaded_Language
2280,dark and menacing developments,Loaded_Language
2281,the word “journalism” is becoming blighted,Loaded_Language
2282,Never has there been a collusion like the one between the U.S. and Israel,Hyperbole
2283,gunning down,Loaded_Language
2284,some of the most wickedly experimental munitions in the world,Hyperbole
2285,cowardice in journalism,Loaded_Language
2286,an extraordinary public service,Hyperbole
2287,they dressed it up,Loaded_Language
2289,and put flesh on the expression,Loaded_Language
2290,shocking information,Loaded_Language
